"Time","Years"
5.3,0.0
5.12,7.1
5.03,8.9
4.79,8.9
4.75,10.1
4.7,12.8
4.63,17.0
4.63,19.1
4.62,25.0
4.59,28.7
4.5,29.7
4.5,29.9
4.32,35.3
4.29,39.8
4.26,40.2
4.21,41.9
4.18,42.1
4.16,44.0
4.12,44.9
4.11,45.0
4.09,45.1
4.02,45.1
3.93,48.9
3.92,52.9
3.87,53.0
3.84,66.1
3.83,87.9
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
